id,name,duplicateCount,elementCount,relationshipCount,viewCount,num_formats,hasWarning,hasDuplicate,rel_elem_ratio,view_elem_ratio,source_GitHub,source_Other,source_Unknown,language_bs,language_ca,language_cs,language_da,language_de,language_en,language_es,language_fi,language_fr,language_hr,language_id,language_it,language_ko,language_ms,language_nb,language_nl,language_nn,language_pl,language_pt,language_ru,language_sl,language_sv,language_tl,language_vi,language_yo,language_zh,arb_outcome
5da4f0c7-67da-4085-8523-6b96dbaa9f06,1 Accountability,0,34,46,10,4,0,0,1.3529411764705883,0.29411764705882354,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79e36aa1,2 Row Data Gateway,0,43,69,1,4,0,0,1.6046511627906976,0.023255813953488372,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
id-a859dd69df0f4978b0d7bb0382894ac2,Delivery_details,0,55,75,1,4,0,0,1.3636363636363635,0.01818181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
_ytSNALXvEeqEM7mFKilpXw,Gr. 8 Tourismus FK,0,36,43,1,4,0,0,1.1944444444444444,0.027777777777777776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_nDgqMHirEeyzq6ra3GZCdA,Hausarbeit3,0,88,114,2,4,0,0,1.2954545454545454,0.022727272727272728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
id-55d5ef7a83cc49bb8ed47978945fbdbc,(new model),0,103,135,1,4,0,0,1.3106796116504855,0.009708737864077669,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e85fd8e8,whore_parser,1,34,35,3,4,0,1,1.0294117647058822,0.08823529411764706,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
_P9TPcGUoEeqK2M3E1LfZ7Q,CU20,0,59,52,1,4,0,0,0.8813559322033898,0.01694915254237288,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d66e9045-de70-464d-bb30-dc4c42bd0890,TOOP-GOOPRA,1,179,365,30,4,0,1,2.0391061452513966,0.16759776536312848,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
_viXHACfbEeuxZMUIY-ihGw,payments-arch1,0,17,16,1,4,0,0,0.9411764705882353,0.058823529411764705,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_4gxjUDSbEeuxZMUIY-ihGw,Сервис-временная упаковка продукции,0,24,29,1,4,0,0,1.2083333333333333,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0abc7d0a-a7c0-42ac-b494-81ca452966f5,PaladinFutureDesign,0,50,111,2,4,0,0,2.22,0.04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
828aac43,Abstract Factory,0,68,86,4,4,0,0,1.2647058823529411,0.058823529411764705,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_lTcWAEAcEeyo8oS76GR6Gg,productos agiles 3,0,31,17,1,4,0,0,0.5483870967741935,0.03225806451612903,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_oNnyMKCSEey6N7ehWr0kcg,AiRo Tech Solutions Inc.,0,20,20,1,4,0,0,1.0,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_JIuKcDklEeufTvxJgLajhw,PAKS-II. Research and development,0,13,17,1,4,0,0,1.3076923076923077,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
id-df2d3843eb53490cb056680f3bad13b0,diagrama2,0,45,68,1,4,0,0,1.511111111111111,0.022222222222222223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EAPK_B38EE707_FE6B_4a3f_BB6C_FABD6E8098C5,OOTS - Emrex,0,21,21,1,4,0,0,1.0,0.047619047619047616,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_JxXMUNIuEeqgY5yD8SByCQ,Группа ПИР,0,84,7,1,4,0,0,0.08333333333333333,0.011904761904761904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
799298e6-cefa-47aa-986f-1ab9d5c10d21,(new model),0,97,45,4,4,1,0,0.4639175257731959,0.041237113402061855,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5b89998c,Factory Method,0,35,48,2,4,0,0,1.3714285714285714,0.05714285714285714,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6e7a0fe5-4c63-4dd7-baa2-762070a8a4ea,(new model),0,51,44,8,4,0,0,0.8627450980392157,0.1568627450980392,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id-618c3012,WFL Model,0,53,119,6,4,0,0,2.2452830188679247,0.11320754716981132,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001bf72f,export.uploader,0,62,65,3,4,0,0,1.0483870967741935,0.04838709677419355,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_KWDfwBfcEeqDmNBP3mfLQg,PRINCE2,0,12,18,2,4,0,0,1.5,0.16666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
674bbb1d-d985-4afa-b736-e7f968cee52f,7. Valuation Databasebeheer,0,20,41,1,4,0,0,2.05,0.05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47efebde,integration of bouded contexts through database ,0,59,116,1,4,0,0,1.9661016949152543,0.01694915254237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
id-ad036cc7f92c411697e6e123510a4664,SwHelpDesk,1,101,111,1,4,0,1,1.099009900990099,0.009900990099009901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
id-e205290c06b4417896edfab1cc09d549,Omnibus RB,0,62,50,2,4,0,0,0.8064516129032258,0.03225806451612903,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e6e5d986-f7b1-46e0-915a-4cdbf06d8f29,8 Derivative Contracts,1,61,64,6,4,0,1,1.0491803278688525,0.09836065573770492,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
id-0664d491d7cc43b79076bb4c2cecf37c,Acme Insurance,1,72,65,8,4,0,1,0.9027777777777778,0.1111111111111111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
id-60bd15bf,PSN ModelMate for API Analysis,2,45,59,2,4,0,1,1.3111111111111111,0.044444444444444446,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
_GPTrELYEEeqEM7mFKilpXw,Walkability  Gruppe4,0,42,48,1,4,0,0,1.1428571428571428,0.023809523809523808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_w5uGIERkEeufTvxJgLajhw,sweetein,0,31,33,1,4,0,0,1.064516129032258,0.03225806451612903,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_4yvX0BVbEeqDmNBP3mfLQg,Arquitectura de Infraestructura de TI Triarii taller5,0,31,26,1,4,0,0,0.8387096774193549,0.03225806451612903,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_SwXeYFl9EeiyA_1nwijzkg,최상위 관리자,0,18,13,1,4,0,0,0.7222222222222222,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70ff1122-82b9-4d13-a15c-6cdc858dd4b3,Altinn arkitektur nåsituasjon,0,311,344,19,4,0,0,1.1061093247588425,0.06109324758842444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
879ef491,7 segregated core,0,42,97,1,4,0,0,2.3095238095238093,0.023809523809523808,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_hhnnUKb-EeqEM7mFKilpXw,CM concept,0,13,14,1,4,0,0,1.0769230769230769,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
506132fa,6a Page Controller,0,30,43,1,4,0,0,1.4333333333333333,0.03333333333333333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
